id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
40ef8913-8db4-4d5b-acf1-dd7d99cd5d80,Caio Macedo,1938-03-26,854.236.521-44,40228-995,Caldeira de Costa,TO,Brasil,F,+55 (061) 1770 1040,85423652144@exemplo.com.br,2024-01-19
78afe438-a000-4928-b3c1-2560781eeca2,Bárbara Sá,2006-09-24,028.880.969-49,15966-885,Guerra do Galho,RJ,Brasil,M,(071) 0164-8298,02888096949@exemplo.com.br,2025-01-11
7f67f3c1-b2a1-4134-b96b-cab601875e45,Bárbara Azevedo,1983-06-30,078.773.664-81,44534-387,Ribeiro,RO,Brasil,M,51 7149 7529,07877366481@exemplo.com.br,2024-02-06
777b2798-fb31-4339-a480-0fa10a89de8b,Maria Liz Fonseca,1978-12-04,040.791.351-47,63212088,Moreira,RJ,Brasil,M,+55 81 2540 4212,04079135147@exemplo.com.br,2024-03-16
d25b1e3a-80ca-4234-a2f0-19de1f769576,Raquel Farias,1942-12-04,001.843.531-80,25767392,Oliveira,AP,Brasil,F,71 6322-7198,00184353180@exemplo.com.br,2024-07-30
000c600d-9e1a-4d61-bf85-772bd95e0965,Enzo Vasconcelos,1936-12-11,676.182.353-06,33561-943,Mendonça de da Luz,GO,Brasil,M,0800 293 8915,67618235306@exemplo.com.br,2024-04-21
7ac7d91d-0985-469e-958d-844df082f95b,Mariah Cavalcante,1989-01-08,301.624.056-23,14821-214,Gonçalves Alegre,MT,Brasil,F,+55 41 1091 6743,30162405623@exemplo.com.br,2025-01-30
f3efb525-4b5e-4cda-ab3e-44f71fb50719,José Pacheco,1951-12-02,695.324.891-40,67905-302,das Neves,RO,Brasil,F,71 4765-4337,69532489140@exemplo.com.br,2024-01-09
a63caf21-753f-4c51-b2ac-f739a6f01157,Stephany Abreu,2001-08-18,592.715.192-04,22594-376,Sousa do Norte,AM,Brasil,F,+55 (061) 5106-5994,59271519204@exemplo.com.br,2024-07-17
e9d62f3c-c460-4ef8-83af-fed60bb53a28,Vitor Hugo Câmara,1966-05-11,210.954.883-17,35009769,Duarte da Serra,MA,Brasil,F,51 9269 4230,21095488317@exemplo.com.br,2024-10-18
c39b3729-0a63-4715-946b-a66124f2e8de,Ana Luiza Duarte,1960-02-17,363.302.617-74,17967813,Gonçalves da Serra,MA,Brasil,M,(021) 5943 0836,36330261774@exemplo.com.br,2024-10-08
47102420-9138-4e47-ab3f-b3babf7a7fa7,Anthony Gabriel Moraes,1975-03-20,704.914.485-66,86661147,Ramos,MA,Brasil,M,+55 (081) 8599-0976,70491448566@exemplo.com.br,2024-01-28
9ba1e6e5-f74c-4e02-9808-f8a3e61a2f2a,Júlia Rodrigues,1940-09-21,940.037.228-36,64779-909,Mendes,SP,Brasil,M,0800-533-4404,94003722836@exemplo.com.br,2025-01-31
ccbf9311-5fcb-454a-bdff-594ad51aa1e2,Cauê Monteiro,1986-11-01,933.338.419-96,69733533,Lopes de Goiás,RO,Brasil,M,+55 (041) 5141-4162,93333841996@exemplo.com.br,2024-12-15
137fc659-5686-4fdd-bc15-f81a546e6576,Maitê Barros,1988-12-23,529.164.869-26,57273857,Aparecida,RR,Brasil,M,0900-954-1173,52916486926@exemplo.com.br,2025-04-12
faf10eef-44a8-43e0-9df8-a9adf99d9970,Miguel Teixeira,1934-12-16,854.360.399-85,71924993,Abreu,PE,Brasil,F,(031) 2438-6892,85436039985@exemplo.com.br,2024-06-17
8322130b-78d7-4a92-805f-304784c5d67d,Maitê Rodrigues,1944-02-20,173.854.692-80,72998382,Silva,RS,Brasil,M,0900-229-7439,17385469280@exemplo.com.br,2025-01-26
6182d10a-7cd4-48ff-839c-8ace83d77c61,Augusto Rodrigues,1956-07-13,675.597.970-78,69458637,Nogueira dos Dourados,SP,Brasil,F,(031) 3578-9532,67559797078@exemplo.com.br,2024-07-30
3e466a44-374b-4670-8a6e-a44283a8b1f0,Dr. Cauê Rios,2000-04-14,541.704.577-82,28407475,Borges do Amparo,RN,Brasil,F,+55 11 5258 3717,54170457782@exemplo.com.br,2024-10-18
6f395503-356b-4ff2-9597-2fc24a1c7c80,Bryan Silva,1968-02-12,785.032.936-67,88573-046,Pastor,TO,Brasil,M,+55 21 4783-8376,78503293667@exemplo.com.br,2024-07-15
bbbcfc79-67c9-4761-bc1c-e8dd5610e47c,Olivia da Rosa,1950-06-18,847.568.300-15,40572-320,Vasconcelos de Cassiano,RO,Brasil,M,+55 (051) 7248-2849,84756830015@exemplo.com.br,2024-09-14
8fdbdb26-64a1-46de-b4ab-f68db3ab6eaf,Srta. Olivia Sales,1954-03-22,957.650.260-83,17075290,Campos de Camargo,PI,Brasil,F,0800 179 1221,95765026083@exemplo.com.br,2024-04-22
77e07210-1990-45cd-8f19-b233208dd71a,Renan Teixeira,1960-01-23,856.309.872-44,41802255,Oliveira,PB,Brasil,M,84 6849 8945,85630987244@exemplo.com.br,2025-06-01
aa7c8e0a-51f6-4392-9bb2-fc82d746e28f,Levi Moreira,1944-07-04,384.233.160-09,97432454,Novaes,MA,Brasil,M,+55 21 1115-6542,38423316009@exemplo.com.br,2024-09-03
42e2ae00-4f36-4d10-ab28-efe512a88939,Calebe Mendes,1996-04-08,498.841.256-03,52824667,Montenegro,PE,Brasil,M,0900-406-3797,49884125603@exemplo.com.br,2025-03-31
b9e6f557-2c7f-43af-b98c-ad9054558db1,Vinicius Vargas,1941-06-22,162.115.649-76,51189-655,Brito de Rezende,PE,Brasil,F,+55 51 6871 4055,16211564976@exemplo.com.br,2023-12-18
aeacb5ea-fa86-48e9-a071-5eac6672e73b,Fernando Rocha,1993-02-05,257.923.379-13,11126456,Correia,CE,Brasil,F,(081) 4415-5115,25792337913@exemplo.com.br,2024-04-18
d0a8de72-4477-4455-a3c5-c9b9d77e68be,Giovanna Abreu,1935-12-14,748.419.213-34,08487916,Mendes dos Dourados,MT,Brasil,M,+55 81 4642-4984,74841921334@exemplo.com.br,2025-02-15
27261ef7-4bc1-43d0-9252-470f6e1f49e2,Isabela Porto,1945-05-26,254.368.705-48,39388763,Freitas,MA,Brasil,M,(021) 5153 7495,25436870548@exemplo.com.br,2023-11-30
8fd37263-5c6e-4a00-820f-06346193a635,Renan Gonçalves,1962-10-16,375.318.427-34,85357966,Pastor,AL,Brasil,M,(051) 8824 2455,37531842734@exemplo.com.br,2025-05-18
