id_pedido,cpf,valor_pedido,valor_frete,valor_desconto,cupom,endereco_entrega_logradouro,endereco_entrega_numero,endereco_entrega_bairro,endereco_entrega_cidade,endereco_entrega_estado,endereco_entrega_pais,status_pedido,data_pedido
fbabf79c-cfb0-415e-8aaf-252f356e1198,509.951.195-75,641.67,97.29,0.00,,Condomínio Câmara,6,Vila Antena Montanhês,Castro da Mata,MT,Brasil,pendente,2025-06-28
ea9c9bc2-e17d-4080-82f2-8a0b5ad7d7fc,462.004.433-42,427.61,10.50,0.00,,Praça Stella Azevedo,52,Vila Pilar,Souza,MT,Brasil,pago,2025-06-18
cb378aca-41f5-41b9-a81e-309c840be179,803.925.693-51,1327.66,32.78,0.00,,Setor Vicente Borges,8,Novo Santa Cecilia,Cassiano do Oeste,PE,Brasil,cancelado,2025-03-27
cc7b5da8-dd0b-4c60-9e45-3c8fe7925c49,672.595.994-35,125.28,30.53,0.00,,Condomínio Sophia Caldeira,96,Olhos D'água,Fernandes,BA,Brasil,enviado,2024-10-19
be8df161-eab3-41f8-95bc-6d7f6cd6f8c2,561.050.451-41,589.07,34.83,0.00,,Setor Maria Eduarda Novaes,69,Tupi B,Almeida,SE,Brasil,pendente,2024-02-04
d88ae15d-aa15-4632-9a56-ff47c182ee3c,901.502.757-96,1882.88,60.36,0.00,,Trecho de Aragão,6,Conjunto Novo Dom Bosco,da Rocha,PI,Brasil,pago,2024-05-22
801fb1e0-6737-4a68-a68e-1e2adb5a67b1,743.294.377-71,1537.09,95.74,0.00,,Trevo de Peixoto,77,Carmo,Moraes,MT,Brasil,pago,2024-04-30
e4c9eec3-b0fa-4e29-9275-f4ee77fb8005,295.237.725-26,1680.22,28.18,0.00,,Lago de Freitas,54,Cachoeirinha,Cavalcante dos Dourados,TO,Brasil,pago,2024-09-20
2038bda1-ef82-42db-9d2f-2d51ca298396,348.583.289-65,1478.96,39.38,0.00,,Lagoa de da Rocha,64,Renascença,Alves,MT,Brasil,enviado,2025-08-11
1b03a225-c06e-494d-9f0a-472b7bdd335b,056.639.666-99,557.54,34.82,0.00,,Fazenda de da Paz,87,São Jorge 3ª Seção,da Costa de Porto,AC,Brasil,pendente,2025-05-27
278de4ea-d336-458c-98a9-04e22749c5a4,803.014.666-36,1480.21,61.01,0.00,,Vereda Campos,5,Anchieta,Almeida das Pedras,MG,Brasil,cancelado,2023-09-29
862aa9a9-277e-4f1b-8b42-dcefd3623dfe,275.403.786-27,629.83,58.59,0.00,,Jardim de Rezende,305,Vila Barragem Santa Lúcia,Abreu,AP,Brasil,cancelado,2025-03-21
23ebe454-366e-4ce4-9b34-d04b323cdc2c,128.556.807-18,1041.04,32.10,0.00,,Chácara de Sousa,92,Vila Novo São Lucas,Moura da Mata,PI,Brasil,entregue,2024-06-30
